pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_UNKNOWN,prodPcat_UNKNOWN
2022-09-30,31.5,273,4,9,-0.9999166586547379,-0.012910296075008843,31.5,31.5,31.5,31.5,31.5,True,True
2022-10-01,31.5,274,5,10,-0.9999907397361901,0.004303538296243821,31.5,31.5,31.5,31.5,31.5,True,True
2022-10-02,31.5,275,6,10,-0.9997685019798909,0.021516097436222233,31.5,31.5,31.5,31.5,31.5,True,True
2022-10-03,31.5,276,0,10,-0.9992500112396835,0.03872228089217399,31.5,31.5,31.5,31.5,31.5,True,True
2022-10-04,31.5,277,1,10,-0.9984354211555643,0.05591699010060302,31.5,31.5,31.5,31.5,31.5,True,True
2022-10-05,31.5,278,2,10,-0.9973249731081555,0.07309512989807776,31.5,31.5,31.5,31.5,31.5,True,True
2022-10-06,31.5,279,3,10,-0.9959189961471792,0.0902516100310407,31.5,31.5,31.5,31.5,31.5,True,True
2022-10-07,31.5,280,4,10,-0.994217906893952,0.10738134666416306,31.5,31.5,31.5,31.5,31.5,True,True
2022-10-08,31.5,281,5,10,-0.9922222094179324,0.12447926388678869,31.5,31.5,31.5,31.5,31.5,True,True
2022-10-09,31.5,282,6,10,-0.989932495087353,0.141540295217043,31.5,31.5,31.5,31.5,31.5,True,True
2022-10-10,31.5,283,0,10,-0.9873494423939864,0.15855938510313475,31.5,31.5,31.5,31.5,31.5,True,True
2022-10-11,31.5,284,1,10,-0.9844738167520923,0.17553149042142777,31.5,31.5,31.5,31.5,31.5,True,True
2022-10-12,31.5,285,2,10,-0.9813064702716093,0.19245158197082995,31.5,31.5,31.5,31.5,31.5,True,True
2022-10-13,31.5,286,3,10,-0.9778483415056567,0.20931464596304888,31.5,31.5,31.5,31.5,31.5,True,True
2022-10-14,31.5,287,4,10,-0.9741004551724206,0.22611568550828803,31.5,31.5,31.5,31.5,31.5,True,True
2022-10-15,31.5,288,5,10,-0.970063921851507,0.2428497220959358,31.5,31.5,31.5,31.5,31.5,True,True
2022-10-16,31.5,289,6,10,-0.965739937654855,0.25951179706979943,31.5,31.5,31.5,31.5,31.5,True,True
2022-10-17,31.5,290,0,10,-0.9611297838723007,0.27609697309746883,31.5,31.5,31.5,31.5,31.5,True,True
2022-10-18,31.5,291,1,10,-0.9562348265919058,0.2926003356333479,31.5,31.5,31.5,31.5,31.5,True,True
2022-10-19,31.5,292,2,10,-0.9510565162951536,0.30901699437494723,31.5,31.5,31.5,31.5,31.5,True,True
2022-10-20,31.5,293,3,10,-0.9455963874271428,0.3253420847119795,31.5,31.5,31.5,31.5,31.5,True,True
2022-10-21,31.5,294,4,10,-0.9398560579418953,0.341570769167856,31.5,31.5,31.5,31.5,31.5,True,True
2022-10-22,31.5,295,5,10,-0.9338372288229252,0.35769823883312546,31.5,31.5,31.5,31.5,31.5,True,True
2022-10-23,31.5,296,6,10,-0.9275416835791965,0.3737197147904692,31.5,31.5,31.5,31.5,31.5,True,True
2022-10-24,31.5,297,0,10,-0.9209712877166347,0.38963044953078774,31.5,31.5,31.5,31.5,31.5,True,True
2022-10-25,31.5,298,1,10,-0.9141279881853337,0.4054257283599973,31.5,31.5,31.5,31.5,31.5,True,True
2022-10-26,31.5,299,2,10,-0.9070138128026362,0.42110087079608916,31.5,31.5,31.5,31.5,31.5,True,True
2022-10-27,31.5,300,3,10,-0.8996308696522434,0.4366512319560638,31.5,31.5,31.5,31.5,31.5,True,True
2022-10-28,31.5,301,4,10,-0.8919813464595487,0.45207220393230374,31.5,31.5,31.5,31.5,31.5,True,True
2022-10-29,31.5,302,5,10,-0.8840675099433637,0.46735921715800205,31.5,31.5,31.5,31.5,31.5,True,True
2022-10-30,31.5,303,6,10,-0.8758917051442433,0.48250774176121763,31.5,31.5,31.5,31.5,31.5,True,True
2022-10-31,31.5,304,0,10,-0.8674563547295971,0.4975132889071803,31.5,31.5,31.5,31.5,31.5,True,True
2022-11-01,31.5,305,1,11,-0.858763958275803,0.5123714121284235,31.5,31.5,31.5,31.5,31.5,True,True
2022-11-02,31.5,306,2,11,-0.8498170915275277,0.5270777086423724,31.5,31.5,31.5,31.5,31.5,True,True
2022-11-03,31.5,307,3,11,-0.8406184056344783,0.5416278206559811,31.5,31.5,31.5,31.5,31.5,True,True
2022-11-04,31.5,308,4,11,-0.8311706263658079,0.5560174366570446,31.5,31.5,31.5,31.5,31.5,True,True
2022-11-05,31.5,309,5,11,-0.8214765533024145,0.5702422926917867,31.5,31.5,31.5,31.5,31.5,True,True
2022-11-06,31.5,310,6,11,-0.8115390590073611,0.5842981736283683,31.5,31.5,31.5,31.5,31.5,True,True
2022-11-07,31.5,311,0,11,-0.801361088174677,0.5981809144059158,31.5,31.5,31.5,31.5,31.5,True,True
2022-11-08,31.5,312,1,11,-0.7909456567567774,0.6118864012687242,31.5,31.5,31.5,31.5,31.5,True,True
2022-11-09,31.5,313,2,11,-0.780295851070776,0.6254105729852457,31.5,31.5,31.5,31.5,31.5,True,True
2022-11-10,31.5,314,3,11,-0.7694148268839381,0.6387494220515268,31.5,31.5,31.5,31.5,31.5,True,True
2022-11-11,31.5,315,4,11,-0.7583058084785625,0.6518989958787125,31.5,31.5,31.5,31.5,31.5,True,True
2022-11-12,31.5,316,5,11,-0.7469720876965551,0.6648553979642866,31.5,31.5,31.5,31.5,31.5,True,True
2022-11-13,31.5,317,6,11,-0.7354170229639858,0.6776147890466887,31.5,31.5,31.5,31.5,31.5,True,True
2022-11-14,31.5,318,0,11,-0.7236440382959124,0.690173388242972,31.5,31.5,31.5,31.5,31.5,True,True
2022-11-15,31.5,319,1,11,-0.711656622281775,0.7025274741691566,31.5,31.5,31.5,31.5,31.5,True,True
2022-11-16,31.5,320,2,11,-0.6994583270516471,0.7146733860429608,31.5,31.5,31.5,31.5,31.5,True,True
2022-11-17,31.5,321,3,11,-0.6870527672236675,0.7266075247685652,31.5,31.5,31.5,31.5,31.5,True,True
2022-11-18,31.5,322,4,11,-0.6744436188329457,0.7383263540031063,31.5,31.5,31.5,31.5,31.5,True,True
2022-11-19,31.5,323,5,11,-0.661634618242279,0.749826401204568,31.5,31.5,31.5,31.5,31.5,True,True
2022-11-20,31.5,324,6,11,-0.6486295610349818,0.7611042586607742,31.5,31.5,31.5,31.5,31.5,True,True
2022-11-21,31.5,325,0,11,-0.6354323008901775,0.7721565844991641,31.5,31.5,31.5,31.5,31.5,True,True
2022-11-22,31.5,326,1,11,-0.622046748440868,0.7829801036770624,31.5,31.5,31.5,31.5,31.5,True,True
2022-11-23,31.5,327,2,11,-0.6084768701151264,0.7935716089521472,31.5,31.5,31.5,31.5,31.5,True,True
2022-11-24,31.5,328,3,11,-0.594726686960764,0.8039279618328208,31.5,31.5,31.5,31.5,31.5,True,True
2022-11-25,31.5,329,4,11,-0.5808002734538013,0.8140460935082175,31.5,31.5,31.5,31.5,31.5,True,True
2022-11-26,31.5,330,5,11,-0.5667017562911184,0.8239230057575536,31.5,31.5,31.5,31.5,31.5,True,True
2022-11-27,31.5,331,6,11,-0.5524353131676203,0.8335557718385695,31.5,31.5,31.5,31.5,31.5,True,True
2022-11-28,31.5,332,0,11,-0.5380051715382992,0.8429415373547832,31.5,31.5,31.5,31.5,31.5,True,True
2022-11-29,31.5,333,1,11,-0.5234156073655503,0.8520775211013093,31.5,31.5,31.5,31.5,31.5,True,True
2022-11-30,31.5,334,2,11,-0.5086709438521042,0.8609610158889945,31.5,31.5,31.5,31.5,31.5,True,True
2022-12-01,31.5,335,3,12,-0.49377555015997737,0.8695893893466109,31.5,31.5,31.5,31.5,31.5,True,True
2022-12-02,31.5,336,4,12,-0.4787338401157883,0.8779600847008883,31.5,31.5,31.5,31.5,31.5,True,True
2022-12-03,31.5,337,5,12,-0.4635502709028512,0.8860706215341378,31.5,31.5,31.5,31.5,31.5,True,True
2022-12-04,31.5,338,6,12,-0.4482293417404106,0.893918596519257,31.5,31.5,31.5,31.5,31.5,True,True
2022-12-05,31.5,339,0,12,-0.4327755925504317,0.9015016841318838,31.5,31.5,31.5,31.5,31.5,True,True
2022-12-06,31.5,340,1,12,-0.41719360261231697,0.9088176373395028,31.5,31.5,31.5,31.5,31.5,True,True
2022-12-07,31.5,341,2,12,-0.4014879892059737,0.9158642882672868,31.5,31.5,31.5,31.5,31.5,True,True
2022-12-08,31.5,342,3,12,-0.38566340624360745,0.9226395488404875,31.5,31.5,31.5,31.5,31.5,True,True
2022-12-09,31.5,343,4,12,-0.3697245428906732,0.9291414114031743,31.5,31.5,31.5,31.5,31.5,True,True
2022-12-10,31.5,344,5,12,-0.3536761221763721,0.935367949313148,31.5,31.5,31.5,31.5,31.5,True,True
2022-12-11,31.5,345,6,12,-0.33752289959411347,0.941317317512847,31.5,31.5,31.5,31.5,31.5,True,True
2022-12-12,31.5,346,0,12,-0.32126966169236515,0.9469877530760751,31.5,31.5,31.5,31.5,31.5,True,True
2022-12-13,31.5,347,1,12,-0.3049212246562894,0.9523775757303973,31.5,31.5,31.5,31.5,31.5,True,True
2022-12-14,31.5,348,2,12,-0.2884824328806098,0.9574851883550389,31.5,31.5,31.5,31.5,31.5,True,True
2022-12-15,31.5,349,3,12,-0.27195815753410524,0.9623090774541487,31.5,31.5,31.5,31.5,31.5,True,True
2022-12-16,31.5,350,4,12,-0.2553532951161881,0.9668478136052773,31.5,31.5,31.5,31.5,31.5,True,True
2022-12-17,31.5,351,5,12,-0.23867276600594997,0.9711000518829505,31.5,31.5,31.5,31.5,31.5,True,True
2022-12-18,31.5,352,6,12,-0.22192151300416674,0.9750645322571945,31.5,31.5,31.5,31.5,31.5,True,True
2022-12-19,31.5,353,0,12,-0.20510449986861926,0.9787400799669153,31.5,31.5,31.5,31.5,31.5,True,True
2022-12-20,31.5,354,1,12,-0.1882267098432439,0.9821256058680006,31.5,31.5,31.5,31.5,31.5,True,True
2022-12-21,31.5,355,2,12,-0.1712931441814778,0.9852201067560606,31.5,31.5,31.5,31.5,31.5,True,True
2022-12-22,31.5,356,3,12,-0.154308820664281,0.9880226656636976,31.5,31.5,31.5,31.5,31.5,True,True
2022-12-23,31.5,357,4,12,-0.13727877211326517,0.9905324521322227,31.5,31.5,31.5,31.5,31.5,True,True
2022-12-24,31.5,358,5,12,-0.12020804489935275,0.9927487224577402,31.5,31.5,31.5,31.5,31.5,True,True
2022-12-25,31.5,359,6,12,-0.10310169744743544,0.9946708199115211,31.5,31.5,31.5,31.5,31.5,True,True
2022-12-26,31.5,360,0,12,-0.0859647987374467,0.9962981749346077,31.5,31.5,31.5,31.5,31.5,True,True
2022-12-27,31.5,361,1,12,-0.06880242680232064,0.9976303053065857,31.5,31.5,31.5,31.5,31.5,True,True
2022-12-28,31.5,362,2,12,-0.05161966722325418,0.9986668162884759,31.5,31.5,31.5,31.5,31.5,True,True
2022-12-29,31.5,363,3,12,-0.034421611622745804,0.9994074007397048,31.5,31.5,31.5,31.5,31.5,True,True
2022-12-30,31.5,364,4,12,-0.01721335615583528,0.9998518392091162,31.5,31.5,31.5,31.5,31.5,True,True
2022-12-31,31.5,365,5,12,6.432490598706546e-16,1.0,31.5,31.5,31.5,31.5,31.5,True,True
2023-01-01,31.5,1,6,1,0.017213356155834685,0.9998518392091162,31.5,31.5,31.5,31.5,31.5,True,True
2023-01-02,31.5,2,0,1,0.03442161162274574,0.9994074007397048,31.5,31.5,31.5,31.5,31.5,True,True
2023-01-03,31.5,3,1,1,0.051619667223253764,0.998666816288476,31.5,31.5,31.5,31.5,31.5,True,True
2023-01-04,31.5,4,2,1,0.06880242680231986,0.9976303053065857,31.5,31.5,31.5,31.5,31.5,True,True
2023-01-05,31.5,5,3,1,0.08596479873744647,0.9962981749346078,31.5,31.5,31.5,31.5,31.5,True,True
2023-01-06,31.5,6,4,1,0.10310169744743485,0.9946708199115211,31.5,31.5,31.5,31.5,31.5,True,True
2023-01-07,31.5,7,5,1,0.1202080448993527,0.9927487224577402,31.5,31.5,31.5,31.5,31.5,True,True
2023-01-08,31.5,8,6,1,0.13727877211326478,0.9905324521322229,31.5,31.5,31.5,31.5,31.5,True,True
2023-01-09,31.5,9,0,1,0.15430882066428117,0.9880226656636976,31.5,31.5,31.5,31.5,31.5,True,True
2023-01-10,31.5,10,1,1,0.1712931441814776,0.9852201067560606,31.5,31.5,31.5,31.5,31.5,True,True
2023-01-11,31.5,11,2,1,0.1882267098432442,0.9821256058680006,31.5,31.5,31.5,31.5,31.5,True,True
2023-01-12,31.5,12,3,1,0.2051044998686192,0.9787400799669153,31.5,31.5,31.5,31.5,31.5,True,True
2023-01-13,31.5,13,4,1,0.2219215130041655,0.9750645322571948,31.5,31.5,31.5,31.5,31.5,True,True
2023-01-14,31.5,14,5,1,0.2386727660059501,0.9711000518829505,31.5,31.5,31.5,31.5,31.5,True,True
2023-01-15,31.5,15,6,1,0.255353295116187,0.9668478136052775,31.5,31.5,31.5,31.5,31.5,True,True
2023-01-16,31.5,16,0,1,0.2719581575341055,0.9623090774541486,31.5,31.5,31.5,31.5,31.5,True,True
2023-01-17,31.5,17,1,1,0.288482432880609,0.9574851883550393,31.5,31.5,31.5,31.5,31.5,True,True
2023-01-18,31.5,18,2,1,0.30492122465628907,0.9523775757303974,31.5,31.5,31.5,31.5,31.5,True,True
2023-01-19,31.5,19,3,1,0.3212696616923644,0.9469877530760753,31.5,31.5,31.5,31.5,31.5,True,True
2023-01-20,31.5,20,4,1,0.3375228995941133,0.9413173175128471,31.5,31.5,31.5,31.5,31.5,True,True
2023-01-21,31.5,21,5,1,0.3536761221763716,0.9353679493131483,31.5,31.5,31.5,31.5,31.5,True,True
2023-01-22,31.5,22,6,1,0.3697245428906731,0.9291414114031743,31.5,31.5,31.5,31.5,31.5,True,True
2023-01-23,31.5,23,0,1,0.38566340624360707,0.9226395488404876,31.5,31.5,31.5,31.5,31.5,True,True
2023-01-24,31.5,24,1,1,0.401487989205973,0.9158642882672872,31.5,31.5,31.5,31.5,31.5,True,True
2023-01-25,31.5,25,2,1,0.4171936026123168,0.9088176373395029,31.5,31.5,31.5,31.5,31.5,True,True
2023-01-26,31.5,26,3,1,0.4327755925504312,0.901501684131884,31.5,31.5,31.5,31.5,31.5,True,True
2023-01-27,31.5,27,4,1,0.4482293417404106,0.893918596519257,31.5,31.5,31.5,31.5,31.5,True,True
2023-01-28,31.5,28,5,1,0.4635502709028509,0.886070621534138,31.5,31.5,31.5,31.5,31.5,True,True
2023-01-29,31.5,29,6,1,0.47873384011578846,0.8779600847008882,31.5,31.5,31.5,31.5,31.5,True,True
2023-01-30,31.5,30,0,1,0.49377555015997715,0.869589389346611,31.5,31.5,31.5,31.5,31.5,True,True
2023-01-31,31.5,31,1,1,0.5086709438521044,0.8609610158889943,31.5,31.5,31.5,31.5,31.5,True,True
2023-02-01,31.5,32,2,2,0.5234156073655503,0.8520775211013093,31.5,31.5,31.5,31.5,31.5,True,True
2023-02-02,31.5,33,3,2,0.5380051715382996,0.8429415373547828,31.5,31.5,31.5,31.5,31.5,True,True
2023-02-03,31.5,34,4,2,0.5524353131676196,0.8335557718385699,31.5,31.5,31.5,31.5,31.5,True,True
2023-02-04,31.5,35,5,2,0.5667017562911176,0.8239230057575542,31.5,31.5,31.5,31.5,31.5,True,True
2023-02-05,31.5,36,6,2,0.5808002734538009,0.8140460935082178,31.5,31.5,31.5,31.5,31.5,True,True
2023-02-06,31.5,37,0,2,0.5947266869607634,0.8039279618328213,31.5,31.5,31.5,31.5,31.5,True,True
2023-02-07,31.5,38,1,2,0.6084768701151261,0.7935716089521474,31.5,31.5,31.5,31.5,31.5,True,True
2023-02-08,31.5,39,2,2,0.6220467484408675,0.7829801036770629,31.5,31.5,31.5,31.5,31.5,True,True
2023-02-09,31.5,40,3,2,0.6354323008901774,0.7721565844991642,31.5,31.5,31.5,31.5,31.5,True,True
2023-02-10,31.5,41,4,2,0.6486295610349814,0.7611042586607747,31.5,31.5,31.5,31.5,31.5,True,True
2023-02-11,31.5,42,5,2,0.6616346182422783,0.7498264012045686,31.5,31.5,31.5,31.5,31.5,True,True
2023-02-12,31.5,43,6,2,0.6744436188329455,0.7383263540031065,31.5,31.5,31.5,31.5,31.5,True,True
2023-02-13,31.5,44,0,2,0.6870527672236669,0.7266075247685656,31.5,31.5,31.5,31.5,31.5,True,True
2023-02-14,31.5,45,1,2,0.699458327051647,0.7146733860429609,31.5,31.5,31.5,31.5,31.5,True,True
2023-02-15,31.5,46,2,2,0.7116566222817746,0.7025274741691571,31.5,31.5,31.5,31.5,31.5,True,True
2023-02-16,31.5,47,3,2,0.7236440382959124,0.6901733882429719,31.5,31.5,31.5,31.5,31.5,True,True
2023-02-17,31.5,48,4,2,0.7354170229639855,0.6776147890466889,31.5,31.5,31.5,31.5,31.5,True,True
2023-02-18,31.5,49,5,2,0.7469720876965552,0.6648553979642865,31.5,31.5,31.5,31.5,31.5,True,True
2023-02-19,31.5,50,6,2,0.7583058084785624,0.6518989958787126,31.5,31.5,31.5,31.5,31.5,True,True
2023-02-20,31.5,51,0,2,0.7694148268839378,0.6387494220515272,31.5,31.5,31.5,31.5,31.5,True,True
2023-02-21,31.5,52,1,2,0.7802958510707755,0.6254105729852463,31.5,31.5,31.5,31.5,31.5,True,True
2023-02-22,31.5,53,2,2,0.7909456567567772,0.6118864012687243,31.5,31.5,31.5,31.5,31.5,True,True
2023-02-23,31.5,54,3,2,0.8013610881746766,0.5981809144059165,31.5,31.5,31.5,31.5,31.5,True,True
2023-02-24,31.5,55,4,2,0.8115390590073611,0.5842981736283684,31.5,31.5,31.5,31.5,31.5,True,True
2023-02-25,31.5,56,5,2,0.8214765533024142,0.5702422926917871,31.5,31.5,31.5,31.5,31.5,True,True
2023-02-26,31.5,57,6,2,0.8311706263658079,0.5560174366570446,31.5,31.5,31.5,31.5,31.5,True,True
2023-02-27,31.5,58,0,2,0.8406184056344782,0.5416278206559814,31.5,31.5,31.5,31.5,31.5,True,True
2023-02-28,31.5,59,1,2,0.8498170915275278,0.5270777086423722,31.5,31.5,31.5,31.5,31.5,True,True
2023-03-01,31.5,60,2,3,0.8587639582758029,0.5123714121284237,31.5,31.5,31.5,31.5,31.5,True,True
2023-03-02,31.5,61,3,3,0.8674563547295969,0.49751328890718066,31.5,31.5,31.5,31.5,31.5,True,True
2023-03-03,31.5,62,4,3,0.8758917051442429,0.48250774176121847,31.5,31.5,31.5,31.5,31.5,True,True
2023-03-04,31.5,63,5,3,0.8840675099433636,0.4673592171580022,31.5,31.5,31.5,31.5,31.5,True,True
2023-03-05,31.5,64,6,3,0.8919813464595485,0.45207220393230435,31.5,31.5,31.5,31.5,31.5,True,True
2023-03-06,31.5,65,0,3,0.8996308696522433,0.43665123195606403,31.5,31.5,31.5,31.5,31.5,True,True
2023-03-07,31.5,66,1,3,0.9070138128026359,0.4211008707960896,31.5,31.5,31.5,31.5,31.5,True,True
2023-03-08,31.5,67,2,3,0.9141279881853337,0.40542572835999735,31.5,31.5,31.5,31.5,31.5,True,True
2023-03-09,31.5,68,3,3,0.9209712877166346,0.38963044953078796,31.5,31.5,31.5,31.5,31.5,True,True
2023-03-10,31.5,69,4,3,0.9275416835791966,0.37371971479046906,31.5,31.5,31.5,31.5,31.5,True,True
2023-03-11,31.5,70,5,3,0.9338372288229252,0.35769823883312546,31.5,31.5,31.5,31.5,31.5,True,True
2023-03-12,31.5,71,6,3,0.9398560579418954,0.3415707691678556,31.5,31.5,31.5,31.5,31.5,True,True
2023-03-13,31.5,72,0,3,0.9455963874271426,0.3253420847119801,31.5,31.5,31.5,31.5,31.5,True,True
2023-03-14,31.5,73,1,3,0.9510565162951535,0.30901699437494745,31.5,31.5,31.5,31.5,31.5,True,True
2023-03-15,31.5,74,2,3,0.9562348265919056,0.29260033563334836,31.5,31.5,31.5,31.5,31.5,True,True
2023-03-16,31.5,75,3,3,0.9611297838723007,0.27609697309746883,31.5,31.5,31.5,31.5,31.5,True,True
2023-03-17,31.5,76,4,3,0.9657399376548549,0.2595117970697999,31.5,31.5,31.5,31.5,31.5,True,True
2023-03-18,31.5,77,5,3,0.9700639218515071,0.2428497220959356,31.5,31.5,31.5,31.5,31.5,True,True
2023-03-19,31.5,78,6,3,0.9741004551724205,0.22611568550828828,31.5,31.5,31.5,31.5,31.5,True,True
2023-03-20,31.5,79,0,3,0.9778483415056568,0.20931464596304847,31.5,31.5,31.5,31.5,31.5,True,True
2023-03-21,31.5,80,1,3,0.9813064702716093,0.19245158197082998,31.5,31.5,31.5,31.5,31.5,True,True
2023-03-22,31.5,81,2,3,0.9844738167520922,0.1755314904214282,31.5,31.5,31.5,31.5,31.5,True,True
2023-03-23,31.5,82,3,3,0.9873494423939864,0.15855938510313475,31.5,31.5,31.5,31.5,31.5,True,True
2023-03-24,31.5,83,4,3,0.989932495087353,0.141540295217043,31.5,31.5,31.5,31.5,31.5,True,True
2023-03-25,31.5,84,5,3,0.9922222094179323,0.12447926388678915,31.5,31.5,31.5,31.5,31.5,True,True
2023-03-26,31.5,85,6,3,0.994217906893952,0.10738134666416309,31.5,31.5,31.5,31.5,31.5,True,True
2023-03-27,31.5,86,0,3,0.995918996147179,0.09025161003104117,31.5,31.5,31.5,31.5,31.5,True,True
